WNV_Present,Trap_type_CDC,Trap_type_GRAVID,Trap_type_SENTINEL,Species_CULEX_PIPIENS,Species_CULEX_RESTUANS,Species_CULEX_SALINARIUS,Species_CULEX_TERRITANS,Year,Week,Month,Lat,Lon,Mosquito_number
0,0,1,0,0,1,0,0,2013,30,7,41.90728487,-87.70139464,8
0,0,1,0,0,1,0,0,2013,30,7,41.91305186,-87.66790524,1
0,0,1,0,0,1,0,0,2013,30,7,41.7212875,-87.6652357,6
0,0,1,0,0,1,0,0,2013,30,7,41.9470445,-87.67306105,1
0,0,1,0,0,1,0,0,2013,30,7,41.88377178,-87.71616837,16
0,0,1,0,0,1,0,0,2013,30,7,41.92273665,-87.63244997,1
1,0,1,0,0,1,0,0,2013,30,7,41.9220638,-87.63223306,3
1,0,1,0,0,1,0,0,2013,30,7,41.92206409,-87.63223174,3
1,0,1,0,0,1,0,0,2013,30,7,41.9220678,-87.63222998,3
1,0,1,0,0,1,0,0,2013,30,7,41.92206798,-87.63222358,3
1,0,1,0,0,1,0,0,2013,30,7,41.92206833,-87.63222784,3
1,0,1,0,0,1,0,0,2013,30,7,41.92206846,-87.63222581,3
1,0,1,0,0,1,0,0,2013,30,7,41.92207283,-87.63223245,3
0,0,1,0,0,1,0,0,2013,30,7,41.80104786,-87.68042473,10
0,0,1,0,0,1,0,0,2013,30,7,41.76848567,-87.67946343,10
0,0,1,0,0,1,0,0,2013,30,7,41.70468721,-87.56423556,7
0,0,1,0,0,1,0,0,2013,30,7,41.8457154,-87.7158986,3
0,0,1,0,0,1,0,0,2013,30,7,41.89221998,-87.69169773,2
0,0,1,0,0,1,0,0,2013,30,7,41.93279021,-87.70023788,1
0,0,1,0,0,1,0,0,2013,30,7,41.6821804,-87.71009165,3
0,0,1,0,0,1,0,0,2013,30,7,41.80059709,-87.71173035,7
0,0,1,0,0,1,0,0,2013,30,7,41.94596109,-87.83294247,4
0,0,1,0,0,1,0,0,2013,30,7,41.68103493,-87.53343647,6
0,0,1,0,0,1,0,0,2013,30,7,41.82085851,-87.6651081,10
0,0,1,0,0,0,0,1,2013,30,7,41.82085851,-87.6651081,3
0,0,1,0,0,1,0,0,2013,30,7,41.70532764,-87.63295537,1
0,0,1,0,0,1,0,0,2013,30,7,41.85783729,-87.63586199,2
0,0,1,0,1,0,0,0,2013,30,7,41.95629886,-87.79751745,4
0,0,1,0,0,1,0,0,2013,30,7,41.95629886,-87.79751745,21
0,0,1,0,0,1,0,0,2013,30,7,41.96440545,-87.69137039,3
0,0,1,0,0,1,0,0,2013,30,7,41.96537486,-87.75841172,16
0,0,1,0,0,1,0,0,2013,30,7,41.92528678,-87.74745912,2
0,0,1,0,0,1,0,0,2013,30,7,41.65923602,-87.61201513,101
0,0,1,0,0,1,0,0,2013,30,7,41.663756686541326,-87.63377020262799,17
0,0,1,0,1,0,0,0,2013,30,7,41.80235931,-87.64307592,6
0,0,1,0,0,1,0,0,2013,30,7,41.80235931,-87.64307592,26
0,0,1,0,0,1,0,0,2013,30,7,41.79821073,-87.73692496,5
0,0,1,0,0,1,0,0,2013,30,7,41.77830516,-87.75436629,3
0,0,1,0,0,1,0,0,2013,30,7,41.98631985,-87.72837846,14
0,0,1,0,0,1,0,0,2013,30,7,41.98724461,-87.68941677,3
0,0,1,0,0,1,0,0,2013,30,7,41.87287286,-87.76473653,5
0,0,1,0,0,1,0,0,2013,30,7,41.99356436,-87.74542039,55
0,0,1,0,0,1,0,0,2013,30,7,41.77600539,-87.77940767,1
0,0,1,0,0,1,0,0,2013,30,7,41.77119859,-87.70310661,7
0,0,1,0,0,1,0,0,2013,30,7,41.72849003,-87.60852431,30
0,0,1,0,0,1,0,0,2013,30,7,41.96201464,-87.64684773,2
0,0,1,0,0,1,0,0,2013,30,7,42.0079975,-87.77823497,69
0,0,1,0,0,1,0,0,2013,30,7,41.91613472,-87.80109281,8
0,0,1,0,0,1,0,0,2013,30,7,42.01064327,-87.8067973,3
0,0,1,0,0,1,0,0,2013,30,7,41.75414841,-87.61272102,1
0,0,1,0,0,1,0,0,2013,30,7,41.75036957366135,-87.58445996029592,6
0,0,1,0,1,0,0,0,2013,30,7,41.74267048,-87.73155006,3
0,0,1,0,0,1,0,0,2013,30,7,41.74267048,-87.73155006,30
0,0,1,0,0,1,0,0,2013,30,7,41.73144686,-87.64972225,20
0,0,1,0,0,1,0,0,2013,30,7,41.73318788,-87.55562869,4
0,0,1,0,0,1,0,0,2013,30,7,41.9885864,-87.85447335,67
0,0,1,0,0,1,0,0,2013,30,7,41.79436648,-87.64892514,36
0,0,1,0,0,1,0,0,2013,31,8,41.7105424,-87.58455893,1
0,0,1,0,1,0,0,0,2013,31,8,41.70433842,-87.65708427,3
